"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1220","checkRedirectFromPersAccNotAuth()","","Mon Jun 15 12:03:39 MSK 2026","passed","Mon Jun 15 12:03:40 MSK 2026","","HomePageTests","HomePageTests","checkRedirectFromPersAccNotAuth"
"","1455","registerInvalidPassword()","","Mon Jun 15 12:03:53 MSK 2026","passed","Mon Jun 15 12:03:54 MSK 2026","","RegisterPageTests","RegisterPageTests","registerInvalidPassword"
"","4587","checkRedirectFromPersAccAuthSuccess()","","Mon Jun 15 12:03:32 MSK 2026","passed","Mon Jun 15 12:03:37 MSK 2026","","HomePageTests","HomePageTests","checkRedirectFromPersAccAuthSuccess"
"","2107","checkButtonEnterFormRecoverPassword()","","Mon Jun 15 12:03:42 MSK 2026","passed","Mon Jun 15 12:03:44 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonEnterFormRecoverPassword"
"","2024","checkButtonPersonalAccount()","","Mon Jun 15 12:03:44 MSK 2026","passed","Mon Jun 15 12:03:46 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonPersonalAccount"
"","2384","checkLoggingOutOfYourAccount()","","Mon Jun 15 12:03:50 MSK 2026","passed","Mon Jun 15 12:03:53 MSK 2026","","PersonalAccountTest","PersonalAccountTest","checkLoggingOutOfYourAccount"
"","1973","registerSuccessUser()","","Mon Jun 15 12:03:54 MSK 2026","passed","Mon Jun 15 12:03:56 MSK 2026","","RegisterPageTests","RegisterPageTests","registerSuccessUser"
"","2458","checkRedirectToTheConstructorFromPersAcc()","","Mon Jun 15 12:03:40 MSK 2026","passed","Mon Jun 15 12:03:42 MSK 2026","","HomePageTests","HomePageTests","checkRedirectToTheConstructorFromPersAcc"
"","1922","checkCLickLogoStellarAndRedirect()","","Mon Jun 15 12:03:37 MSK 2026","passed","Mon Jun 15 12:03:39 MSK 2026","","HomePageTests","HomePageTests","checkCLickLogoStellarAndRedirect"
"","1972","checkButtonLogInAcc()","","Mon Jun 15 12:03:48 MSK 2026","passed","Mon Jun 15 12:03:50 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonLogInAcc"
"","1428","checkClickTabSauces()","","Mon Jun 15 12:03:31 MSK 2026","passed","Mon Jun 15 12:03:32 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabSauces"
"","2328","checkClickTabToppings()","","Mon Jun 15 12:03:27 MSK 2026","passed","Mon Jun 15 12:03:30 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabToppings"
"","873","checkClickTabBuns()","","Mon Jun 15 12:03:30 MSK 2026","passed","Mon Jun 15 12:03:31 MSK 2026","","ConstructorPageTest","ConstructorPageTest","checkClickTabBuns"
"","2062","checkButtonEnterFormRegister()","","Mon Jun 15 12:03:46 MSK 2026","passed","Mon Jun 15 12:03:48 MSK 2026","","LoginPageTest","LoginPageTest","checkButtonEnterFormRegister"
